CID,IC50,class,PUBCHEM_XLOGP3_AA,PUBCHEM_EXACT_MASS,PUBCHEM_MOLECULAR_WEIGHT,PUBCHEM_CACTVS_TPSA,PUBCHEM_MONOISOTOPIC_WEIGHT,PUBCHEM_TOTAL_CHARGE,PUBCHEM_HEAVY_ATOM_COUNT,PUBCHEM_ATOM_DEF_STEREO_COUNT,PUBCHEM_ATOM_UDEF_STEREO_COUNT,PUBCHEM_BOND_DEF_STEREO_COUNT,PUBCHEM_BOND_UDEF_STEREO_COUNT,PUBCHEM_ISOTOPIC_ATOM_COUNT,PUBCHEM_COMPONENT_COUNT,PUBCHEM_CACTVS_TAUTO_COUNT,PUBCHEM_COORDINATE_TYPE,AM1_dipole,AM1_E,AM1_Eele,AM1_HF,AM1_HOMO,AM1_IP,AM1_LUMO,apol
11574718,26000,0,3.0999999,393.16885,393.43573,81.699997,393.16885,NEGATIVE,29,0,0,0,0,0,1,3,1 5 255,6.6581354,-116087.53,-873110.63,-53.179062,-8.3412199,8.3412199,-0.35365999,Hphob
11588394,18000,0,2,353.13754,353.37186,81.199997,353.13754,NEGATIVE,26,0,0,0,0,0,1,11,1 5 255,6.6539345,-105920.16,-756295.5,10.55248,-8.08008,8.08008,-1.30892,Hphob
11595532,4000,0,2.9000001,353.13754,353.37186,85.699997,353.13754,NEGATIVE,26,0,0,0,0,0,1,6,1 5 255,2.1243818,-105945.3,-746576.88,-41.624611,-8.5216103,8.5216103,-0.82595003,Hphob
11603925,14000,0,3.5,409.16376,409.43512,91.800003,409.16376,NEGATIVE,30,0,0,0,0,0,1,2,1 5 255,3.3731277,-123471.46,-920087.25,-88.225159,-8.5907202,8.5907202,-0.74693,Hphob
11624721,9800,0,3,,362.38193,89.300003,362.13788,NEGATIVE,27,0,0,0,0,0,1,2,1 5 255,3.5202413,-105944.63,-758839,32.753059,-8.6625795,8.6625795,-0.94624001,Hphob
11682654,3500,0,2.4000001,,394.42377,94.599998,394.16409,NEGATIVE,29,0,0,0,0,0,1,6,1 5 255,6.1265469,-117577.95,-878443.13,-34.944031,-8.3673801,8.3673801,-0.58574998,Hphob
11696578,1100,0,2.0999999,,380.39719,109,380.14847,NEGATIVE,28,0,0,0,0,0,1,4,1 5 255,2.7503471,-113990.98,-840224.88,-34.764488,-8.5915699,8.5915699,-1.09219,Hphob
11710340,3000,0,2.7,,365.38257,82.599998,,NEGATIVE,27,0,0,0,0,0,1,2,1 5 255,2.1039367,-108889.58,-798212.06,-28.92919,-8.5784702,8.5784702,-1.2156399,Hphob
11710382,26000,0,2.3,,,85.699997,367.1532,NEGATIVE,27,0,0,0,0,0,1,2,1 5 255,4.9799428,-109538.71,-784182.38,-48.240749,-8.3194799,8.3194799,-0.61319,Hphob
21037364,140,0,5.0999999,429.21646,429.51419,81.099998,429.21646,NEGATIVE,32,0,0,0,0,0,1,4,1 5 255,6.0771565,-120958.4,-960298.75,81.57386,-8.5172901,8.5172901,-0.46410999,Hphob
22040410,1300,0,4.0999999,437.04874,438.27734,91.900002,437.04874,NEGATIVE,28,0,0,0,0,0,1,6,1 5 255,4.1476779,-110842.71,-764602.63,87.819344,-8.6871204,8.6871204,-0.57629001,Hphob
22040802,130,0,3.4000001,373.15387,373.40787,81.099998,373.15387,NEGATIVE,28,0,0,0,0,0,1,4,1 5 255,6.1993394,-106592.96,-770497.81,87.957581,-8.5824404,8.5824404,-0.44442999,Hphob
22040805,2400,0,4.0999999,437.04874,438.27734,91.900002,437.04874,NEGATIVE,28,0,0,0,0,0,1,6,1 5 255,2.7290745,-110840.08,-761764.69,116.96881,-8.57936,8.57936,-0.59921998,Hphob
22040857,9000,0,4.3000002,427.12561,427.37924,91.900002,427.12561,NEGATIVE,31,0,0,0,0,0,1,6,1 5 255,3.0625832,-139229.31,-946294.13,-70.747337,-8.7349596,8.7349596,-0.69673002,Hphob
22040925,140,0,4.1999998,393.21646,393.48209,81.099998,393.21646,NEGATIVE,29,0,0,0,0,0,1,4,1 5 255,3.5949931,-112133.69,-882928.69,23.481741,-8.6778202,8.6778202,-0.36230999,Hphob
22040937,1900,0,4.3000002,441.14127,441.40582,81.099998,441.14127,NEGATIVE,32,0,0,0,0,0,1,4,1 5 255,5.1016288,-142811.2,-1010118.8,-65.698029,-8.7837896,8.7837896,-0.66338003,Hphob
22041111,7700,0,3.4000001,359.13821,359.38129,91.900002,359.13821,NEGATIVE,27,0,0,0,0,0,1,6,1 5 255,4.1965761,-103012.21,-717735.56,81.926628,-8.6704597,8.6704597,-0.51295,Hphob
