Nation,lowbwt,life60,life92
Afghanistan,20,33,43
Guatemala,14,46,64
Nigeria,16,40,52
Albania,7,62,73
Guinea,21,34,44
Norway,4,73,77
Algeria,9,47,66
Guinea-Bissau,20,34,43
Oman,10,40,69
Angola,19,33,46
Haiti,15,42,56
Pakistan,25,43,59
Argentina,8,65,71
Honduras,9,46,66
Panama,10,61,73
Armenia,.,.,72
Hong Kong,8,66,78
Papua New Guinea,23,41,56
Australia,6,71,77
Hungary,9,68,70
Paraguay,8,64,67
Austria,6,69,76
India,33,44,60
Peru,11,48,64
Azerbaijan,.,.,71
Indonesia,14,41,62
Philippines,15,53,65
Bangladesh,50,40,53
Iran,9,50,67
Poland,.,67,72
Belarus,.,.,71
Iraq,15,48,66
Portugal,5,63,75
Belgium,6,70,76
Ireland,4,70,75
Romania,7,65,70
Benin,.,35,46
Israel,7,69,76
Russian Fed.,.,.,69
Bhutan,.,37,48
Italy,5,69,77
Rwanda,17,42,46
Bolivia,12,43,61
Jamaica,11,63,73
Saudi Arabia,7,44,69
Botswana,8,46,61
Japan,6,68,79
Senegal,11,37,49
Brazil,11,55,66
Jordan,7,47,68
Sierra Leone,17,32,43
Bulgaria,6,68,72
Kazakhstan,.,.,69
Singapore,7,64,74
Burkina Faso,21,36,48
Kenya,16,45,59
Slovakia,.,.,72
Burundi,.,41,48
"Korea, Dem",.,54,71
Somalia,16,36,47
Cambodia,.,42,51
"Korea, Rep.",9,54,71
South Africa,.,49,63
Cameroon,13,39,56
Kuwait,7,60,75
Spain,4,69,77
Canada,6,71,77
Kyrgyzstan,.,.,66
Sri Lanka,25,62,71
Central African Rep.,15,39,47
Lao PDR,18,40,51
Sudan,15,39,52
Chad,.,35,47
Latvia,.,70,71
Sweden,5,73,78
Chile,7,57,72
Lebanon,10,60,68
Switzerland,5,71,78
China,9,47,71
Lesotho,11,43,60
Syrian Arab Rep.,11,50,67
Colombia,10,57,69
Liberia,.,41,55
Tanzania,14,41,51
Congo,16,42,52
Libyan Arab Jama.,.,47,63
Thailand,13,52,69
Costa Rica,6,62,76
Lithuania,.,69,73
Togo,20,39,55
Cote d'Ivoire,14,39,52
Madagascar,10,41,55
Trinidad and Tobago,10,63,71
Cuba,8,64,76
Malawi,20,38,44
Tunisia,8,48,68
Czech Rep.,.,.,72
Malaysia,10,54,71
Turkey,8,50,67
Denmark,6,72,76
Mali,17,35,46
Turkmenistan,.,.,66
Dominican Rep.,16,52,67
Mauritania,11,35,48
USA,7,70,76
Ecuador,11,53,66
Mauritius,9,59,70
Uganda,43,42,
Egypt,10,46,61
Mexico,12,57,70
Ukraine,.,.,70
El Salvador,11,50,66
Moldova,.,.,68
United Arab Emirates,7,53,71
Eritrea,.,.,47
Mongolia,10,47,63
United Kingdom,7,71,76
Estonia,.,69,71
Morocco,9,47,63
Uruguay,8,68,72
Ethiopia,16,36,47
Mozambique,20,37,47
Uzbekistan,.,.,69
Finland,4,68,76
Myanmar,16,44,57
Venezuela,9,60,70
France,5,70,77
Namibia,12,42,59
VietNam,17,44,64
Gabon,.,41,53
Nepal,.,38,53
Yemen,19,36,52
Georgia,.,.,73
Netherlands,.,73,77
Yugoslavia (former),.,63,72
Germany,.,70,76
New Zealand,6,71,76
Zaire,15,41,52
Ghana,17,45,56
Nicaragua,15,47,66
Zambia,13,42,45
Greece,6,69,77
Niger,15,35,46
Zimbabwe,14,45,56
